Id,Label,timeset,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class
ASV395,ASV395,,4,0.371886,0.393806,628.578283,6
ASV396,ASV396,,4,0.370787,0.393939,713.919905,2
ASV398,ASV398,,4,0.341317,0.363238,401.161156,4
ASV399,ASV399,,4,0.359107,0.379984,365.107503,6
ASV40,ASV40,,4,0.375224,0.400718,766.338762,5
ASV400,ASV400,,5,0.310089,0.327539,108.209962,2
ASV401,ASV401,,4,0.351064,0.370282,271.596091,3
ASV402,ASV402,,4,0.353439,0.37387,411.750452,1
ASV403,ASV403,,4,0.369258,0.391813,558.456885,3
ASV404,ASV404,,4,0.371666,0.395003,894.250497,6
ASV405,ASV405,,4,0.354438,0.37706,357.372235,3
ASV407,ASV407,,4,0.357265,0.382376,308.794235,0
ASV41,ASV41,,4,0.372771,0.397794,502.655569,4
ASV410,ASV410,,4,0.381155,0.407762,1008.745646,5
ASV411,ASV411,,4,0.375899,0.40404,802.625696,0
ASV412,ASV412,,4,0.355846,0.376794,463.34862,2
ASV413,ASV413,,4,0.366025,0.388357,580.801517,6
ASV415,ASV415,,4,0.364323,0.387294,686.452271,4
ASV416,ASV416,,4,0.358696,0.382642,392.961936,1
ASV417,ASV417,,4,0.36839,0.392212,461.60537,1
ASV418,ASV418,,4,0.34375,0.361909,311.266308,3
ASV419,ASV419,,4,0.371445,0.393939,699.804152,0
ASV421,ASV421,,4,0.370567,0.396863,856.293767,4
ASV422,ASV422,,4,0.350867,0.373472,230.725673,3
ASV423,ASV423,,4,0.365172,0.387161,533.385854,6
ASV424,ASV424,,4,0.375674,0.400851,866.656538,6
ASV425,ASV425,,4,0.369912,0.393009,663.129644,0
ASV426,ASV426,,4,0.373659,0.398325,685.525321,6
ASV427,ASV427,,4,0.33746,0.355795,267.802477,2
ASV429,ASV429,,4,0.370787,0.393939,580.958025,2
ASV430,ASV430,,4,0.361175,0.383041,415.273696,6
ASV432,ASV432,,4,0.359725,0.382509,292.271252,0
ASV434,ASV434,,4,0.35625,0.379585,422.119915,4
ASV435,ASV435,,4,0.359107,0.38025,434.977537,3
ASV437,ASV437,,4,0.368824,0.392477,707.351406,5
ASV44,ASV44,,4,0.383956,0.410819,881.986731,1
ASV440,ASV440,,4,0.374105,0.39806,845.921249,1
ASV441,ASV441,,5,0.303926,0.318953,25.546778,6
ASV443,ASV443,,4,0.374552,0.397927,599.150626,0
ASV444,ASV444,,4,0.363268,0.383041,501.444626,6
ASV445,ASV445,,4,0.33746,0.356459,124.638328,3
ASV447,ASV447,,4,0.366667,0.388623,449.519396,0
ASV448,ASV448,,4,0.378852,0.403775,656.120402,3
ASV450,ASV450,,4,0.365172,0.387161,325.658555,1
ASV452,ASV452,,4,0.365598,0.388756,681.516127,6
ASV454,ASV454,,4,0.360552,0.382111,425.299641,3
ASV455,ASV455,,4,0.373214,0.396199,718.521485,3
ASV456,ASV456,,4,0.367526,0.394604,711.268643,4
ASV458,ASV458,,4,0.378166,0.403509,752.616016,6
ASV459,ASV459,,4,0.377711,0.404572,823.099779,4
ASV46,ASV46,,4,0.356453,0.377459,574.08945,6
ASV460,ASV460,,4,0.362009,0.385035,565.096849,6
ASV461,ASV461,,4,0.371006,0.395401,713.88448,3
ASV463,ASV463,,4,0.346026,0.364301,254.949187,6
ASV464,ASV464,,4,0.367958,0.394471,719.806443,4
ASV465,ASV465,,4,0.320061,0.336124,100.960993,3
ASV466,ASV466,,4,0.35504,0.375465,360.457473,1
ASV469,ASV469,,4,0.362218,0.384902,518.863758,6
ASV47,ASV47,,4,0.368607,0.391015,644.642212,6
ASV470,ASV470,,4,0.351852,0.371212,363.608324,6
ASV471,ASV471,,4,0.343562,0.362573,215.191825,2
ASV473,ASV473,,4,0.359107,0.380649,323.888737,3
